AirportId,CountryId,StateId,CityId,Code,Name,TimeZone,Latitude,Longitude
5585,189,NULL,14167,MXS,Maota Savail Is Airport,-11:00,-13.7389,-172.255
5586,131,NULL,14168,MXT,Maintirano Airport,+03:00,-18.0508,44.0322
5588,146,NULL,14170,MXV,Moron Airport,+08:00,49.6633,100.099
5590,210,NULL,14172,MXX,Mora Airport,+01:00,60.9578,14.5114
5592,45,NULL,14174,MXZ,Meixian Airport,+08:00,24.35,116.133
5593,14,52,14175,MYA,Moruya Airport,+11:00,-35.8978,150.144
5596,114,NULL,14178,MYD,Malindi Airport,+03:00,-3.25667,40.1006
5597,110,NULL,14179,MYE,Miyake Jima Airport,+09:00,34.0736,139.56
5598,17,NULL,14180,MYG,Mayaguana Airport,-04:00,22.3794,-73.0136
5601,110,NULL,14183,MYJ,Matsuyama Airport,+09:00,33.8272,132.7
5610,151,NULL,14193,MYT,Myitkyina Airport,+06:30,25.3836,97.3519
5611,231,1,14194,MYU,Mekoryuk Airport,-08:00,60.3714,-166.271
5612,215,NULL,14196,MYW,Mtwara Airport,+03:00,-10.3392,40.1817
5614,133,NULL,14198,MYY,Miri Airport,+08:00,4.32528,113.988
5622,213,NULL,14206,MZG,Makung Airport,+08:00,23.5686,119.628
5623,223,NULL,14207,MZH,Amasya Airport,+03:00,40.8333,35.5167
5624,135,NULL,14208,MZI,Mopti Airport,+00:00,14.5128,-4.07944
5627,48,NULL,14211,MZL,Manizales Airport,-05:00,5.02972,-75.4647
5630,56,NULL,14214,MZO,Manzanillo Airport,-04:00,20.2881,-77.0892
5633,1,NULL,14217,MZR,Mazar-I-Sharif Airport,+04:30,36.7069,67.2094
5635,142,NULL,14219,MZT,Mazatlan Airport,-07:00,23.1614,-106.266
5637,133,NULL,14221,MZV,Mulu Airport,+08:00,4.05056,114.809
5638,4,NULL,14222,MZW,Mechria Airport,+01:00,33.5219,-0.283056
5642,14,52,14226,NAA,Narrabri Airport,+11:00,-30.3192,149.827
5643,14,54,14227,NAC,Naracoorte Airport,+09:30,-36.9667,140.583
5647,101,NULL,14231,NAG,Nagpur Airport,+05:30,21.0922,79.0472
5648,102,NULL,14232,NAH,Naha Airport,+08:00,3.68333,125.528
5650,16,NULL,14234,NAJ,Nakhichevan Airport,+05:00,39.1889,45.4583
5652,182,NULL,14236,NAL,Nalchik Airport,+04:00,43.5128,43.6367
5654,72,NULL,14238,NAN,Nadi Airport,+12:00,-17.7564,177.444
5655,45,NULL,14239,NAO,Nanchong Airport,+08:00,30.7553,106.061
5656,85,NULL,14241,NAQ,Qaanaaq Airport,-02:00,77.5,-69.4833
5658,31,92,14244,NAT,Natal Airport,-03:00,-5.91139,-35.2478
5659,76,NULL,14245,NAU,Napuka Island Airport,-10:00,-14.1769,-141.267
5660,223,NULL,14246,NAV,Nevsehir Airport,+03:00,38.7719,34.5344
5661,216,NULL,14247,NAW,Narathiwat Airport,+07:00,6.52333,101.745
5666,182,NULL,14252,NBC,Nizhnekamsk Airport,+04:00,55.5667,52.1
5672,102,NULL,14259,NBX,Nabire Airport,+09:00,-3.36667,135.5
5673,225,NULL,14260,NCA,North Caicos Airport,-05:00,21.8842,-71.9394
5674,74,NULL,14261,NCE,Nice Airport,+02:00,43.6653,7.215
5678,230,NULL,14265,NCL,Newcastle Airport,+01:00,55.0375,-1.69167
5679,231,1,14266,NCN,New Chenega Airport,-09:00,60.0011,-148.008
5684,234,NULL,14272,NCU,Nukus Airport,+05:00,42.4867,59.6228
5685,74,NULL,14273,NCY,Annecy Airport,+02:00,45.9308,6.10639
5687,139,NULL,14275,NDB,Nouadhibou Airport,+00:00,20.9331,-17.03
5692,45,NULL,14280,NDG,Qiqihar Airport,+08:00,47.2397,123.918
5694,43,NULL,14282,NDJ,Ndjamena Airport,+01:00,12.1336,15.0339
5700,149,NULL,14288,NDR,Nador Airport,+00:00,34.9889,-3.02833
5704,230,NULL,14292,NDY,Sanday Airport,+01:00,59.2503,-2.57667
5707,11,60,14295,NEC,Necochea Airport,-03:00,-38.4889,-58.8158
5714,182,NULL,14302,NER,Neryungri Airport,+10:00,56.65,124.6
5716,185,NULL,14304,NEV,Nevis Airport,-04:00,17.2056,-62.59
5721,45,NULL,14310,NGB,Ningbo Airport,+08:00,29.8267,121.462
5728,110,NULL,14318,NGS,Nagasaki Airport,+09:00,32.9169,129.914
5737,76,NULL,14328,NHV,Nuku Hiva Airport,-09:30,-8.79556,-140.229
5741,231,1,14332,NIB,Nikolai Airport,-08:00,63.0169,-154.369
5747,160,NULL,14338,NIM,Niamey Airport,+01:00,13.1483,2.18361
5755,182,NULL,14346,NJC,Nizhnevartovsk Airport,+06:00,60.9492,76.4836
5758,139,NULL,14349,NKC,Nouakchott Airport,+00:00,18.0978,-15.9481
5760,45,NULL,14351,NKG,Nanjing Airport,+08:00,31.7419,118.862
5761,231,1,14352,NKI,Naukiti Airport,-08:00,55.8556,-133.183
5769,243,NULL,14360,NLA,Ndola Airport,+02:00,-12.9978,28.6661
5771,142,NULL,14362,NLD,Nuevo Laredo Airport,-05:00,27.4439,-99.5706
5774,231,1,14365,NLG,Nelson Lagoon Airport,-08:00,56.0078,-161.16
5775,163,NULL,14366,NLK,Norfolk Island Airport,+11:30,-29.0417,167.939
5779,228,NULL,14370,NLV,Nikolaev Airport,+03:00,47.0578,31.9197
5780,234,NULL,14371,NMA,Namangan Airport,+05:00,40.9844,71.5567
5783,231,1,14374,NME,Nightmute Airport,-08:00,60.4833,-164
5792,200,NULL,14383,NNB,Santa Ana Island Airport,+11:00,-10.8483,162.454
5794,45,NULL,14385,NNG,Nanning Airport,+08:00,22.6083,108.173
5797,231,1,14388,NNL,Nondalton Airport,-08:00,60,-154.817
5798,182,NULL,14389,NNM,Naryan-Mar Airport,+04:00,67.6403,53.1225
5800,216,NULL,14391,NNT,Nan Airport,+07:00,18.7756,100.773
5802,102,NULL,14393,NNX,Nunukan Airport,+08:00,4.15,117.65
5803,45,NULL,14394,NNY,Nanyang Airport,+08:00,32.9811,112.616
5805,53,NULL,14396,NOB,Nosara Beach Airport,-06:00,9.97639,-85.6531
5806,105,NULL,14397,NOC,Knock Airport,+01:00,53.9103,-8.81861
5811,182,NULL,14402,NOJ,Nojabrxsk Airport,+06:00,63.5,75
5818,131,NULL,14409,NOS,Nossi-Be Airport,+03:00,-13.3119,48.3147
5820,7,NULL,14412,NOV,Huambo Airport,+01:00,-12.7833,15.7667
5821,182,NULL,14413,NOZ,Novokuznetsk Airport,+07:00,53.8106,87.8781
5822,158,NULL,14414,NPE,Napier-Hastings Airport,+13:00,-39.4644,176.868
5825,158,NULL,14417,NPL,New Plymouth Airport,+13:00,-39.0081,174.178
5831,31,85,14423,NQL,Niquelandia Airport,-03:00,-14.45,-48.45
5832,11,120,14424,NQN,Neuquen Airport,-03:00,-38.9489,-68.1558
5833,48,NULL,14426,NQU,Nuqui Airport,-05:00,5.73333,-77.2667
5834,230,NULL,14427,NQY,Newquay Airport,+01:00,50.4,-5.06667
5835,14,52,14428,NRA,Narrandera Airport,+11:00,-34.7022,146.512
5842,210,NULL,14435,NRK,Norrkoping Airport,+02:00,58.5864,16.2506
5843,230,NULL,14436,NRL,North Ronaldsay Airport,+01:00,59.3675,-2.43444
5851,103,NULL,14444,NSH,Now Shahr Airport,+03:30,36.6633,51.4647
5852,182,NULL,14445,NSK,Norilsk Airport,+08:00,69.3111,87.3322
5854,158,NULL,14447,NSN,Nelson Airport,+13:00,-41.2967,173.224
5857,216,NULL,14450,NST,Nakhon Si Thammarat Airport,+07:00,8.53972,99.9447
5864,45,NULL,14458,NTG,Nantong Airport,+08:00,32.0706,120.975
5868,14,53,14463,NTN,Normanton Airport,+10:00,-17.6836,141.07
5870,110,NULL,14465,NTQ,Wajima Airport,+09:00,37.2903,136.965
5875,205,NULL,14470,NUA,Nuwara Eliya Airport,+05:30,60.9567,80.78
5879,205,NULL,14475,NUF,Hatton Airport,+06:00,6.87583,80.5786
5882,231,1,14478,NUI,Nuiqsut Airport,-08:00,70.21,-151.006
5884,76,NULL,14480,NUK,Nukutavake Airport,-10:00,-19.0861,-139
